domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system stabil,particl swarm optim,1,0.0,2012.0,,bf2c34c6-c6fa-486b-96bf-68848f1fc314
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system stabil,system stabil multimachin,1,0.0,2012.0,,bf2c34c6-c6fa-486b-96bf-68848f1fc314
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system stabil,transmiss power system,1,0.0,2015.0,,eb237642-8aec-4c50-8b3d-7e854c8a77a1
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system stabil,stabil paper system,1,0.0,2015.0,,eb237642-8aec-4c50-8b3d-7e854c8a77a1
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system stabil,transmiss power,1,0.0,2015.0,,eb237642-8aec-4c50-8b3d-7e854c8a77a1
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system stabil,system stabil paper,1,0.0,2015.0,,eb237642-8aec-4c50-8b3d-7e854c8a77a1
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system stabil,stabil paper,1,0.0,2015.0,,eb237642-8aec-4c50-8b3d-7e854c8a77a1
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system stabil,paper system respons,1,0.0,2015.0,,eb237642-8aec-4c50-8b3d-7e854c8a77a1
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power flow control,flow control mpupfc,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power flow control,system stabil assess,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power flow control,mpupfc power system,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power flow control,analysi model power,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power flow control,control mpupfc power,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power flow control,model power flow,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power flow control,design analysi model,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power flow control,power system stabil,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power flow control,smib power system,1,0.0,2013.0,,aabc5718-157f-41de-bc57-02a33de4ea29
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power flow control,paper control,1,0.0,2013.0,,aabc5718-157f-41de-bc57-02a33de4ea29
